datetime,sym,price,size
2018-02-14D07:50:00.063000000,TEST.L,4375,32
2018-02-14D07:50:00.663000000,TEST.L,4149,3661
2018-02-14D07:50:01.021000000,TEST.L,4149,3661
2018-02-14D07:50:01.022000000,TEST.L,4149,3661
2018-02-14D07:50:01.022000000,TEST.L,4149,3661
2018-02-14D07:50:01.024000000,TEST.L,4149,5268
2018-02-14D07:50:01.030000000,TEST.L,4149,5268
2018-02-14D07:50:01.032000000,TEST.L,4149,5268
2018-02-14D07:50:01.032000000,TEST.L,4149,5268
2018-02-14D07:50:01.221000000,TEST.L,4149,5268
2018-02-14D07:50:01.262000000,TEST.L,4149,5268
2018-02-14D07:50:01.558000000,TEST.L,4149,5268
2018-02-14D07:50:01.572000000,TEST.L,4325,5268
2018-02-14D07:50:02.010000000,TEST.L,4325,5268
2018-02-14D07:50:02.011000000,TEST.L,4325,5268
2018-02-14D07:50:02.011000000,TEST.L,4350,5268
2018-02-14D07:50:02.011000000,TEST.L,4350,5268
2018-02-14D07:50:02.013000000,TEST.L,4350,5268
2018-02-14D07:50:02.013000000,TEST.L,4350,5268
2018-02-14D07:50:02.013000000,TEST.L,4375,5268
2018-02-14D07:50:02.013000000,TEST.L,4375,5268
2018-02-14D07:50:02.013000000,TEST.L,4375,5268
2018-02-14D07:50:02.013000000,TEST.L,4376.5,5268
2018-02-14D07:50:02.128000000,TEST.L,4550,5665
2018-02-14D07:50:02.214000000,TEST.L,4550,5708
2018-02-14D07:50:02.217000000,TEST.L,4550,5708
2018-02-14D07:50:02.270000000,TEST.L,4550,5800
2018-02-14D07:50:02.313000000,TEST.L,4550,5800
2018-02-14D07:50:02.324000000,TEST.L,4550,5800
2018-02-14D07:50:02.352000000,TEST.L,4550,5954
2018-02-14D07:50:02.354000000,TEST.L,4550,5954
2018-02-14D07:50:02.400000000,TEST.L,4550,5954
2018-02-14D07:50:04.008000000,TEST.L,4550,6016
2018-02-14D07:50:04.047000000,TEST.L,4550,6016
2018-02-14D07:50:04.588000000,TEST.L,4550,6016
2018-02-14D07:50:11.580000000,TEST.L,4550,6062
2018-02-14D07:50:18.440000000,TEST.L,4550,6062
2018-02-14D07:50:18.440000000,TEST.L,4550,6062
2018-02-14D07:50:18.440000000,TEST.L,4550,6062
2018-02-14D07:50:20.081000000,TEST.L,4550,6429
2018-02-14D07:50:21.227000000,TEST.L,4550,6429
2018-02-14D07:50:30.090000000,TEST.L,4550,6515
2018-02-14D07:50:30.092000000,TEST.L,4550,6515
2018-02-14D07:50:37.429000000,TEST.L,4550,11517
2018-02-14D07:50:37.430000000,TEST.L,4550,12496
2018-02-14D07:50:38.019000000,TEST.L,4550,12496
2018-02-14D07:50:55.845000000,TEST.L,4550,12573
2018-02-14D07:50:55.873000000,TEST.L,4550,12573
2018-02-14D07:50:56.721000000,TEST.L,4550,12833
2018-02-14D07:50:57.604000000,TEST.L,4550,13169
